n,generations,population_size,selection_type,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,100,50,elitist,scramble,0.8000000000000002,pmx,0.4,7119.75,6473.75,0.0020,0.0013,646.0,9.97876037845144,0.6475766270783848
5,100,50,elitist,scramble,0.4,pmx,0.6000000000000001,7029.75,6473.75,0.0028,0.0013,556.0,8.588530604363783,0.4504415695993391
5,100,50,elitist,scramble,0.6000000000000001,pmx,0.6000000000000001,6929.25,6473.75,0.0027,0.0013,455.5,7.036107356632556,0.4775019879148787
5,100,50,elitist,scramble,0.8000000000000002,pmx,0.6000000000000001,7109.75,6473.75,0.0026,0.0013,636.0,9.824290403552808,0.48994475694132444
5,100,50,elitist,scramble,0.4,pmx,0.8000000000000002,6671.75,6473.75,0.0032,0.0013,198.0,3.0585055029928583,0.4056688639238152
5,100,50,elitist,scramble,0.6000000000000001,pmx,0.8000000000000002,7029.75,6473.75,0.0030,0.0013,556.0,8.588530604363783,0.4328830739917434
5,100,50,elitist,scramble,0.8000000000000002,pmx,0.8000000000000002,7089.75,6473.75,0.0030,0.0013,616.0,9.515350453755545,0.4321625743045098
5,100,50,elitist,scramble,0.4,order,0.4,7349.25,6473.75,0.0021,0.0013,875.5,13.523846302374977,0.5909391134713341
5,100,50,elitist,scramble,0.6000000000000001,order,0.4,7217.25,6473.75,0.0021,0.0013,743.5,11.484842633713072,0.6027631218217997
5,100,50,elitist,scramble,0.8000000000000002,order,0.4,7253.75,6473.75,0.0020,0.0013,780.0,12.048658042093066,0.647038708911831
5,100,50,elitist,scramble,0.4,order,0.6000000000000001,6965.25,6473.75,0.0026,0.0013,491.5,7.592199266267613,0.49704605287146764
5,100,50,elitist,scramble,0.6000000000000001,order,0.6000000000000001,7217.25,6473.75,0.0025,0.0013,743.5,11.484842633713072,0.5023118562874251
5,100,50,elitist,scramble,0.8000000000000002,order,0.6000000000000001,7089.75,6473.75,0.0024,0.0013,616.0,9.515350453755545,0.5318048571149907
5,100,50,elitist,scramble,0.4,order,0.8000000000000002,7119.75,6473.75,0.0030,0.0013,646.0,9.97876037845144,0.4328143514843626
