n,generations,population_size,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,80000,150,scramble,0.4,pmx,0.8000000000000002,6860.25,6473.75,0.0096,0.0013,386.5,5.970264529832008,0.1348917718074316
5,80000,150,scramble,0.6000000000000001,pmx,0.8000000000000002,6801.75,6473.75,0.0089,0.0013,328.0,5.066615176675029,0.14548400971210543
5,80000,150,scramble,0.8000000000000002,pmx,0.8000000000000002,6860.25,6473.75,0.0086,0.0013,386.5,5.970264529832008,0.15035420377774714
5,80000,150,scramble,0.4,order,0.4,7343.75,6473.75,0.0070,0.0013,870.0,13.438887816180724,0.18537414836472427
5,80000,150,scramble,0.6000000000000001,order,0.4,7253.75,6473.75,0.0064,0.0013,780.0,12.048658042093066,0.20261585225372522
5,80000,150,scramble,0.8000000000000002,order,0.4,7217.25,6473.75,0.0061,0.0013,743.5,11.484842633713072,0.21230367168944436
5,80000,150,scramble,0.4,order,0.6000000000000001,7089.75,6473.75,0.0083,0.0013,616.0,9.515350453755545,0.15505303986805435
5,80000,150,scramble,0.6000000000000001,order,0.6000000000000001,7251.75,6473.75,0.0076,0.0013,778.0,12.017764047113346,0.16903602938896983
5,80000,150,scramble,0.8000000000000002,order,0.6000000000000001,7184.25,6473.75,0.0168,0.0013,710.5,10.975091716547595,0.07712080563491838
5,80000,150,scramble,0.4,order,0.8000000000000002,6965.25,6473.75,0.0105,0.0013,491.5,7.592199266267613,0.12328935920047031
5,80000,150,scramble,0.6000000000000001,order,0.8000000000000002,6880.25,6473.75,0.0093,0.0013,406.5,6.279204479629271,0.13976354548483838
5,80000,150,scramble,0.8000000000000002,order,0.8000000000000002,7119.75,6473.75,0.0084,0.0013,646.0,9.97876037845144,0.153542329353458
5,80000,150,reverse,0.4,pmx,0.4,7217.25,6473.75,0.0068,0.0013,743.5,11.484842633713072,0.1911447521559279
5,80000,150,reverse,0.6000000000000001,pmx,0.4,7184.25,6473.75,0.0063,0.0013,710.5,10.975091716547595,0.2041941055312137
5,80000,150,reverse,0.8000000000000002,pmx,0.4,7251.75,6473.75,0.0067,0.0013,778.0,12.017764047113346,0.1917767023072594
5,80000,150,reverse,0.4,pmx,0.6000000000000001,7029.75,6473.75,0.0078,0.0013,556.0,8.588530604363783,0.1661515434073803
5,80000,150,reverse,0.6000000000000001,pmx,0.6000000000000001,7029.75,6473.75,0.0077,0.0013,556.0,8.588530604363783,0.168565715522305
5,80000,150,reverse,0.8000000000000002,pmx,0.6000000000000001,6880.25,6473.75,0.0072,0.0013,406.5,6.279204479629271,0.18024512247529006
5,80000,150,reverse,0.4,pmx,0.8000000000000002,6880.25,6473.75,0.0093,0.0013,406.5,6.279204479629271,0.13935277039460234
5,80000,150,reverse,0.6000000000000001,pmx,0.8000000000000002,6860.25,6473.75,0.0088,0.0013,386.5,5.970264529832008,0.14650031435557107
5,80000,150,reverse,0.8000000000000002,pmx,0.8000000000000002,6860.25,6473.75,0.0084,0.0013,386.5,5.970264529832008,0.15459583782251204
5,80000,150,reverse,0.4,order,0.4,7289.75,6473.75,0.0067,0.0013,816.0,12.604749951728138,0.1921687178402763
5,80000,150,reverse,0.6000000000000001,order,0.4,7343.75,6473.75,0.0062,0.0013,870.0,13.438887816180724,0.20740187143400532
5,80000,150,reverse,0.8000000000000002,order,0.4,7325.75,6473.75,0.0059,0.0013,852.0,13.160841861363195,0.21980066916596122
5,80000,150,reverse,0.4,order,0.6000000000000001,7217.25,6473.75,0.0080,0.0013,743.5,11.484842633713072,0.1615583762962963
5,80000,150,reverse,0.6000000000000001,order,0.6000000000000001,7184.25,6473.75,0.0075,0.0013,710.5,10.975091716547595,0.17304332592827673
5,80000,150,reverse,0.8000000000000002,order,0.6000000000000001,7119.75,6473.75,0.0072,0.0013,646.0,9.97876037845144,0.1786623152790065
5,80000,150,reverse,0.4,order,0.8000000000000002,6929.25,6473.75,0.0091,0.0013,455.5,7.036107356632556,0.14231338936159105
5,80000,150,reverse,0.6000000000000001,order,0.8000000000000002,6929.25,6473.75,0.0086,0.0013,455.5,7.036107356632556,0.1495541622096053
5,80000,150,reverse,0.8000000000000002,order,0.8000000000000002,7029.75,6473.75,0.0084,0.0013,556.0,8.588530604363783,0.15359855770585087
5,80000,200,swap,0.4,pmx,0.4,7253.75,6473.75,0.0089,0.0013,780.0,12.048658042093066,0.1456550073460665
5,80000,200,swap,0.6000000000000001,pmx,0.4,7251.75,6473.75,0.0084,0.0013,778.0,12.017764047113346,0.15372847275085286
5,80000,200,swap,0.8000000000000002,pmx,0.4,7244.25,6473.75,0.0079,0.0013,770.5,11.901911565939372,0.16349610794602698
