n,generations,population_size,selection_type,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,100,50,elitist,swap,0.4,pmx,0.4,7119.75,6473.75,0.0028,0.0013,646.0,9.97876037845144,0.4613415009730095
5,100,50,elitist,swap,0.6000000000000001,pmx,0.4,6860.25,6473.75,0.0026,0.0013,386.5,5.970264529832008,0.4877533947580284
5,100,50,elitist,swap,0.8000000000000002,pmx,0.4,7217.25,6473.75,0.0025,0.0013,743.5,11.484842633713072,0.5053846695708591
5,100,50,elitist,swap,0.4,pmx,0.6000000000000001,7119.75,6473.75,0.0036,0.0013,646.0,9.97876037845144,0.3565185824506342
5,100,50,elitist,swap,0.6000000000000001,pmx,0.6000000000000001,6929.25,6473.75,0.0030,0.0013,455.5,7.036107356632556,0.43223108997225523
5,100,50,elitist,swap,0.8000000000000002,pmx,0.6000000000000001,7251.75,6473.75,0.0025,0.0013,778.0,12.017764047113346,0.5051037702640111
5,100,50,elitist,swap,0.4,pmx,0.8000000000000002,7089.75,6473.75,0.0038,0.0013,616.0,9.515350453755545,0.341213717146433
5,100,50,elitist,swap,0.6000000000000001,pmx,0.8000000000000002,6857.75,6473.75,0.0131,0.0013,384.0,5.93164703610735,0.09892405885447848
5,100,50,elitist,swap,0.8000000000000002,pmx,0.8000000000000002,6965.25,6473.75,0.0028,0.0013,491.5,7.592199266267613,0.45107504963600265
5,100,50,elitist,swap,0.4,order,0.4,7244.25,6473.75,0.0022,0.0013,770.5,11.901911565939372,0.5708328308207705
5,100,50,elitist,swap,0.6000000000000001,order,0.4,7349.25,6473.75,0.0020,0.0013,875.5,13.523846302374977,0.6498921573301549
5,100,50,elitist,swap,0.8000000000000002,order,0.4,7168.25,6473.75,0.0020,0.0013,694.5,10.727939756709787,0.6400510858081934
5,100,50,elitist,swap,0.4,order,0.6000000000000001,7217.25,6473.75,0.0026,0.0013,743.5,11.484842633713072,0.4922003249684058
5,100,50,elitist,swap,0.6000000000000001,order,0.6000000000000001,7168.25,6473.75,0.0025,0.0013,694.5,10.727939756709787,0.5158069435247374
5,100,50,elitist,swap,0.8000000000000002,order,0.6000000000000001,7109.75,6473.75,0.0023,0.0013,636.0,9.824290403552808,0.5475042875790742
5,100,50,elitist,swap,0.4,order,0.8000000000000002,7089.75,6473.75,0.0032,0.0013,616.0,9.515350453755545,0.4009261176470588
5,100,50,elitist,swap,0.6000000000000001,order,0.8000000000000002,7168.25,6473.75,0.0032,0.0013,694.5,10.727939756709787,0.40033738619676945
5,100,50,elitist,swap,0.8000000000000002,order,0.8000000000000002,6880.25,6473.75,0.0028,0.0013,406.5,6.279204479629271,0.45605513549682164
5,100,50,elitist,insert,0.4,pmx,0.4,6929.25,6473.75,0.0021,0.0013,455.5,7.036107356632556,0.5964987638113992
5,100,50,elitist,insert,0.6000000000000001,pmx,0.4,7168.25,6473.75,0.0024,0.0013,694.5,10.727939756709787,0.536356010230179
5,100,50,elitist,insert,0.8000000000000002,pmx,0.4,7029.75,6473.75,0.0019,0.0013,556.0,8.588530604363783,0.6586055320690904
5,100,50,elitist,insert,0.4,pmx,0.6000000000000001,7168.25,6473.75,0.0025,0.0013,694.5,10.727939756709787,0.5012037135766155
5,100,50,elitist,insert,0.6000000000000001,pmx,0.6000000000000001,6880.25,6473.75,0.0025,0.0013,406.5,6.279204479629271,0.5188994290064712
5,100,50,elitist,insert,0.8000000000000002,pmx,0.6000000000000001,6929.25,6473.75,0.0023,0.0013,455.5,7.036107356632556,0.5449325604637217
5,100,50,elitist,insert,0.4,pmx,0.8000000000000002,6929.25,6473.75,0.0031,0.0013,455.5,7.036107356632556,0.41907579740219814
5,100,50,elitist,insert,0.6000000000000001,pmx,0.8000000000000002,6801.75,6473.75,0.0030,0.0013,328.0,5.066615176675029,0.43096705659184315
5,100,50,elitist,insert,0.8000000000000002,pmx,0.8000000000000002,7029.75,6473.75,0.0030,0.0013,556.0,8.588530604363783,0.4288317105780574
5,100,50,elitist,insert,0.4,order,0.4,7168.25,6473.75,0.0023,0.0013,694.5,10.727939756709787,0.5585530833845523
5,100,50,elitist,insert,0.6000000000000001,order,0.4,7184.25,6473.75,0.0028,0.0013,710.5,10.975091716547595,0.4557882805316392
