n,generations,population_size,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,80000,150,swap,0.4,pmx,0.4,7289.75,6473.75,0.0195,0.0013,816.0,12.604749951728138,0.06653238646069747
5,80000,150,swap,0.6000000000000001,pmx,0.4,7184.25,6473.75,0.0062,0.0013,710.5,10.975091716547595,0.20843253822629967
5,80000,150,swap,0.8000000000000002,pmx,0.4,7244.25,6473.75,0.0059,0.0013,770.5,11.901911565939372,0.21858469432752053
5,80000,150,swap,0.4,pmx,0.6000000000000001,6929.25,6473.75,0.0070,0.0013,455.5,7.036107356632556,0.18499678360588992
5,80000,150,swap,0.6000000000000001,pmx,0.6000000000000001,7029.75,6473.75,0.0080,0.0013,556.0,8.588530604363783,0.1607392016980131
5,80000,150,swap,0.8000000000000002,pmx,0.6000000000000001,6880.25,6473.75,0.0073,0.0013,406.5,6.279204479629271,0.17685430897473323
5,80000,150,swap,0.4,pmx,0.8000000000000002,6860.25,6473.75,0.0093,0.0013,386.5,5.970264529832008,0.13848212526032405
5,80000,150,swap,0.6000000000000001,pmx,0.8000000000000002,6707.75,6473.75,0.0082,0.0013,234.0,3.6145974126279157,0.15832157955865273
5,80000,150,swap,0.8000000000000002,pmx,0.8000000000000002,6965.25,6473.75,0.0081,0.0013,491.5,7.592199266267613,0.15933011513061773
5,80000,150,swap,0.4,order,0.4,7323.75,6473.75,0.0058,0.0013,850.0,13.129947866383475,0.22126345006695614
5,80000,150,swap,0.6000000000000001,order,0.4,7253.75,6473.75,0.0056,0.0013,780.0,12.048658042093066,0.23167042828008155
5,80000,150,swap,0.8000000000000002,order,0.4,7343.75,6473.75,0.0054,0.0013,870.0,13.438887816180724,0.2366372363510112
5,80000,150,swap,0.4,order,0.6000000000000001,7109.75,6473.75,0.0073,0.0013,636.0,9.824290403552808,0.17684857291126102
5,80000,150,swap,0.6000000000000001,order,0.6000000000000001,7119.75,6473.75,0.0072,0.0013,646.0,9.97876037845144,0.1793439857908759
5,80000,150,swap,0.8000000000000002,order,0.6000000000000001,7119.75,6473.75,0.0076,0.0013,646.0,9.97876037845144,0.1698574873056914
