n,generations,population_size,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,500,50,scramble,0.2,order,0.4,6473.75,6473.75,0.0584,0.0013,0.0,0.0,0.022249224504119248
5,500,50,scramble,0.4,order,0.4,6857.75,6473.75,0.0713,0.0013,384.0,5.93164703610735,0.018230677824995236
5,500,50,scramble,0.5,order,0.4,7253.75,6473.75,0.0796,0.0013,780.0,12.048658042093066,0.0163134131163236
5,500,50,scramble,0.2,order,0.6,6473.75,6473.75,0.0887,0.0013,0.0,0.0,0.014645506238164945
5,500,50,scramble,0.4,order,0.6,6656.25,6473.75,0.0979,0.0013,182.5,2.8190770418999875,0.01326726831654018
5,500,50,scramble,0.5,order,0.6,7089.75,6473.75,0.1059,0.0013,616.0,9.515350453755545,0.012273045913107676
5,500,50,scramble,0.2,order,0.8,6633.75,6473.75,0.1051,0.0013,160.0,2.471519598378066,0.012358276557648285
5,500,50,scramble,0.4,order,0.8,6656.25,6473.75,0.1245,0.0013,182.5,2.8190770418999875,0.010441644053872389
5,500,50,scramble,0.5,order,0.8,6633.75,6473.75,0.1326,0.0013,160.0,2.471519598378066,0.00979991660555867
5,500,50,reverse,0.2,pmx,0.4,6496.25,6473.75,0.0570,0.0013,22.5,0.3475574435219215,0.022771140771428094
5,500,50,reverse,0.4,pmx,0.4,7323.75,6473.75,0.0684,0.0013,850.0,13.129947866383475,0.01897868507245015
5,500,50,reverse,0.5,pmx,0.4,6801.75,6473.75,0.0732,0.0013,328.0,5.066615176675029,0.01775540207427669
5,500,50,reverse,0.2,pmx,0.6,6581.75,6473.75,0.0810,0.0013,108.0,1.6682757289052006,0.016032706444138643
5,500,50,reverse,0.4,pmx,0.6,6473.75,6473.75,0.0950,0.0013,0.0,0.0,0.013682970175284507
5,500,50,reverse,0.5,pmx,0.6,7419.75,6473.75,0.1008,0.0013,946.0,14.612859625410309,0.012887432107285851
5,500,50,reverse,0.2,pmx,0.8,6473.75,6473.75,0.1024,0.0013,0.0,0.0,0.01268974993309052
5,500,50,reverse,0.4,pmx,0.8,6581.75,6473.75,0.1196,0.0013,108.0,1.6682757289052006,0.01086353958921495
5,500,50,reverse,0.5,pmx,0.8,6473.75,6473.75,0.1283,0.0013,0.0,0.0,0.010126089104314074
5,500,50,reverse,0.2,order,0.4,7119.75,6473.75,0.0568,0.0013,646.0,9.97876037845144,0.022854751525719266
5,500,50,reverse,0.4,order,0.4,7029.75,6473.75,0.0690,0.0013,556.0,8.588530604363783,0.018837323678473832
5,500,50,reverse,0.5,order,0.4,7109.75,6473.75,0.0727,0.0013,636.0,9.824290403552808,0.017867519530225973
5,500,50,reverse,0.2,order,0.6,7869.75,6473.75,0.0799,0.0013,1396.0,21.564008495848626,0.016258640410775092
5,500,50,reverse,0.4,order,0.6,7361.25,6473.75,0.0947,0.0013,887.5,13.70921027225333,0.013717186120286488
5,500,50,reverse,0.5,order,0.6,7889.25,6473.75,0.1002,0.0013,1415.5,21.865224946900952,0.012970850173536358
5,500,50,reverse,0.2,order,0.8,6633.75,6473.75,0.1064,0.0013,160.0,2.471519598378066,0.012206692351949567
5,500,50,reverse,0.4,order,0.8,6640.25,6473.75,0.1240,0.0013,166.5,2.5719250820621795,0.010483703581220607
5,500,50,reverse,0.5,order,0.8,6473.75,6473.75,0.1302,0.0013,0.0,0.0,0.009979675311602028
5,500,75,swap,0.2,pmx,0.4,6473.75,6473.75,0.0866,0.0013,0.0,0.0,0.014994528089671348
5,500,75,swap,0.4,pmx,0.4,7712.25,6473.75,0.1000,0.0013,1238.5,19.131106391195217,0.0129968827095018
5,500,75,swap,0.5,pmx,0.4,6671.75,6473.75,0.1103,0.0013,198.0,3.0585055029928583,0.011782592967951474
5,500,75,swap,0.2,pmx,0.6,6473.75,6473.75,0.1205,0.0013,0.0,0.0,0.010783893169628023
5,500,75,swap,0.4,pmx,0.6,6581.75,6473.75,0.1411,0.0013,108.0,1.6682757289052006,0.009209967028809253
5,500,75,swap,0.5,pmx,0.6,6880.25,6473.75,0.1538,0.0013,406.5,6.279204479629271,0.008447323395540076
5,500,75,swap,0.2,pmx,0.8,7397.75,6473.75,0.1818,0.0013,924.0,14.273025680633324,0.007148422654827346
5,500,75,swap,0.4,pmx,0.8,6707.75,6473.75,0.1833,0.0013,234.0,3.6145974126279157,0.007091247842750666
5,500,75,swap,0.5,pmx,0.8,6707.75,6473.75,0.1888,0.0013,234.0,3.6145974126279157,0.006882122067339489
5,500,75,swap,0.2,order,0.4,7985.25,6473.75,0.0852,0.0013,1511.5,23.348136705927786,0.015244552177255889
5,500,75,swap,0.4,order,0.4,6857.75,6473.75,0.1003,0.0013,384.0,5.93164703610735,0.01295260936182343
5,500,75,swap,0.5,order,0.4,7323.75,6473.75,0.1096,0.0013,850.0,13.129947866383475,0.011852849416552179
5,500,75,swap,0.2,order,0.6,6473.75,6473.75,0.1216,0.0013,0.0,0.0,0.010690440824713161
5,500,75,swap,0.4,order,0.6,7709.75,6473.75,0.1459,0.0013,1236.0,19.09248889747056,0.008907358877390161
5,500,75,swap,0.5,order,0.6,7709.75,6473.75,0.1559,0.0013,1236.0,19.09248889747056,0.008334625273230308
5,500,75,swap,0.2,order,0.8,6633.75,6473.75,0.1565,0.0013,160.0,2.471519598378066,0.00830268163178916
5,500,75,swap,0.4,order,0.8,6581.75,6473.75,0.1778,0.0013,108.0,1.6682757289052006,0.007307747216001308
5,500,75,swap,0.5,order,0.8,7349.25,6473.75,0.1883,0.0013,875.5,13.523846302374977,0.006903067807768269
5,500,75,insert,0.2,pmx,0.4,6640.25,6473.75,0.0844,0.0013,166.5,2.5719250820621795,0.015400897063641807
5,500,75,insert,0.4,pmx,0.4,6656.25,6473.75,0.0996,0.0013,182.5,2.8190770418999875,0.013043518782099892
5,500,75,insert,0.5,pmx,0.4,6857.75,6473.75,0.1083,0.0013,384.0,5.93164703610735,0.011996407630924119
5,500,75,insert,0.2,pmx,0.6,6473.75,6473.75,0.1298,0.0013,0.0,0.0,0.01001435356433134
5,500,75,insert,0.4,pmx,0.6,6473.75,6473.75,0.1513,0.0013,0.0,0.0,0.008588928233885703
5,500,75,insert,0.5,pmx,0.6,6496.25,6473.75,0.1554,0.0013,22.5,0.3475574435219215,0.008364312888103477
5,500,75,insert,0.2,pmx,0.8,6473.75,6473.75,0.1552,0.0013,0.0,0.0,0.0083752205321033
5,500,75,insert,0.4,pmx,0.8,6965.25,6473.75,0.1735,0.0013,491.5,7.592199266267613,0.0074911662796928015
5,500,75,insert,0.5,pmx,0.8,6473.75,6473.75,0.1904,0.0013,0.0,0.0,0.006826752137822238
5,500,75,insert,0.2,order,0.4,7631.75,6473.75,0.0853,0.0013,1158.0,17.887623093261254,0.01522433393829401
5,500,75,insert,0.4,order,0.4,7869.75,6473.75,0.1021,0.0013,1396.0,21.564008495848626,0.012720212011496397
5,500,75,insert,0.5,order,0.4,6880.25,6473.75,0.1077,0.0013,406.5,6.279204479629271,0.01206638709577479
5,500,75,insert,0.2,order,0.6,6633.75,6473.75,0.1188,0.0013,160.0,2.471519598378066,0.010937850822556152
5,500,75,insert,0.4,order,0.6,6581.75,6473.75,0.1391,0.0013,108.0,1.6682757289052006,0.00934049016803167
5,500,75,insert,0.5,order,0.6,6880.25,6473.75,0.1480,0.0013,406.5,6.279204479629271,0.008782963040519317
5,500,75,insert,0.2,order,0.8,6496.25,6473.75,0.1542,0.0013,22.5,0.3475574435219215,0.008427738638787477
5,500,75,insert,0.4,order,0.8,7323.75,6473.75,0.1799,0.0013,850.0,13.129947866383475,0.007222506540211538
5,500,75,insert,0.5,order,0.8,7869.75,6473.75,0.1893,0.0013,1396.0,21.564008495848626,0.006865657328780232
5,500,75,scramble,0.2,pmx,0.4,6496.25,6473.75,0.0884,0.0013,22.5,0.3475574435219215,0.014695754544082451
5,500,75,scramble,0.4,pmx,0.4,6581.75,6473.75,0.1055,0.0013,108.0,1.6682757289052006,0.012316459607687234
5,500,75,scramble,0.5,pmx,0.4,6581.75,6473.75,0.1167,0.0013,108.0,1.6682757289052006,0.011134880719481464
5,500,75,scramble,0.2,pmx,0.6,7397.75,6473.75,0.1221,0.0013,924.0,14.273025680633324,0.010641847248000968
5,500,75,scramble,0.4,pmx,0.6,6473.75,6473.75,0.1467,0.0013,0.0,0.0,0.008856201831792762
5,500,75,scramble,0.5,pmx,0.6,7361.25,6473.75,0.1584,0.0013,887.5,13.70921027225333,0.00820400526010117
5,500,75,scramble,0.2,pmx,0.8,6473.75,6473.75,0.1638,0.0013,0.0,0.0,0.007935260465556258
5,500,75,scramble,0.4,pmx,0.8,6473.75,6473.75,0.1850,0.0013,0.0,0.0,0.007024612058803447
5,500,75,scramble,0.5,pmx,0.8,6473.75,6473.75,0.1981,0.0013,0.0,0.0,0.006560128589509752
5,500,75,scramble,0.2,order,0.4,6857.75,6473.75,0.0898,0.0013,384.0,5.93164703610735,0.014462196571040569
5,500,75,scramble,0.4,order,0.4,7733.25,6473.75,0.1069,0.0013,1259.5,19.455493338482327,0.012151577727510781
5,500,75,scramble,0.5,order,0.4,7628.25,6473.75,0.1156,0.0013,1154.5,17.833558602046722,0.011243275700308268
5,500,75,scramble,0.2,order,0.6,6633.75,6473.75,0.1236,0.0013,160.0,2.471519598378066,0.010510581141619053
5,500,75,scramble,0.4,order,0.6,7552.25,6473.75,0.1465,0.0013,1078.5,16.65958679281715,0.008868950351010742
5,500,75,scramble,0.5,order,0.6,7244.25,6473.75,0.1592,0.0013,770.5,11.901911565939372,0.008163850904708074
5,500,75,scramble,0.2,order,0.8,7361.25,6473.75,0.1589,0.0013,887.5,13.70921027225333,0.008180520723624001
5,500,75,scramble,0.4,order,0.8,6473.75,6473.75,0.1882,0.0013,0.0,0.0,0.006904361479590545
